Review,Brand,Variety,Style,Country,Stars,Count,Average,Count_no
2247,Nissin,Sapporo Noukou Miso Ramen,Bowl,Japan,5,234,3.981605113636364,54
2245,Nissin,Vietnamese Chicken Coriander Flavour Vermicelli,Cup,Hong Kong,4,234,3.8018248175182485,99
2243,Nissin,Cup Noodles Black Pepper Crab Flavour,Cup,Hong Kong,4,234,3.8018248175182485,99
2237,Nissin,Cup Noodle Light+ Bagna Cauda,Cup,Japan,5,234,3.981605113636364,99
2233,Nissin,Cup Noodles Milk Seafood Flavour,Cup,Hong Kong,4,234,3.8018248175182485,99
2232,Nissin,Spicy Chikin Donburi,Bowl,Japan,5,234,3.981605113636364,54
2228,Nissin,Raoh Shoyu Ramen,Bowl,Japan,5,234,3.981605113636364,54
2221,Nissin,Cup Noodle Seafood,Cup,Japan,5,234,3.981605113636364,99
2217,Nissin,Demae Ramen Spicy Seafood Flavour Instant Noodle,Pack,Hong Kong,5,234,3.8018248175182485,77
2211,Nissin,Disney Cuties Instant Noodle Roast Pork Flavour,Cup,Thailand,3,234,3.384816753926702,99
2209,Nissin,Demae Ramen Spicy Hot tonkotsu Flavour Instant Noodle,Pack,Hong Kong,5,234,3.8018248175182485,77
2207,Nissin,Big Cup Noodles Tonkotsu Flavour,Cup,Hong Kong,3,234,3.8018248175182485,99
2206,Nissin,Deka Buto Kuro M-yu Tonkotsu,Bowl,Japan,5,234,3.981605113636364,54
2202,Nissin,Nupasta Vongole Flavour Instant Noodle,Cup,Hong Kong,4,234,3.8018248175182485,99
2195,Nissin,Gyorai Inaniwa Chuka Soba,Bowl,Japan,5,234,3.981605113636364,54
2189,Nissin,Demae Ramen Sesame Oil Flavour Cup,Cup,Hong Kong,4,234,3.8018248175182485,99
2185,Nissin,Raoh Hot & Sour Ramen,Pack,Japan,5,234,3.981605113636364,77
2163,Nissin,Piritto Karakuchi Tantan Udon,Bowl,Japan,4,234,3.981605113636364,54
2141,Nissin,Men Shokunin Kaoruyasai Shio,Bowl,Japan,5,234,3.981605113636364,54
2137,Nissin,Demae Ramen Spicy Curry Flavour Instant Noodles,Pack,Hong Kong,4,234,3.8018248175182485,77
2136,Nissin,Demae Ramen Roast Beef Flavour Instant Noodles,Pack,Hong Kong,4,234,3.8018248175182485,77
2133,Nissin,Kimchi Chikin Ramen Donburi,Bowl,Japan,5,234,3.981605113636364,54
2126,Nissin,Mennippon Oumi Chanpon,Bowl,Japan,5,234,3.981605113636364,54
2123,Nissin,Cup Noodles Tom Yum Shrimp Sabb Flavour,Cup,Thailand,5,234,3.384816753926702,99
2122,Nissin,Chilli Noodles Stir Fried Holy Basil Flavour,Pack,Thailand,5,234,3.384816753926702,77
2121,Nissin,Instant Noodles Moo Manao Flavour,Pack,Thailand,4,234,3.384816753926702,77
2120,Nissin,Super Tom Yum Shrimp,Cup,Thailand,3.5,234,3.384816753926702,99
2119,Nissin,Cup Noodles Minced Pork Flavour,Cup,Thailand,3.5,234,3.384816753926702,99
2118,Nissin,Chilli Noodles Tom Yum Shrimp Creamy Soup Flavour,Cup,Thailand,3.25,234,3.384816753926702,99
2116,Nissin,Instant Noodles Tom Yum Shrimp Saab Flavour,Pack,Thailand,4,234,3.384816753926702,77
2115,Nissin,Cup Noodles Moo Manao Flavour,Cup,Thailand,4,234,3.384816753926702,99
2114,Nissin,Instant Noodles Minced Pork Flavour,Pack,Thailand,3.5,234,3.384816753926702,77
2113,Nissin,Cup Noodles Seafood Creamy Flavour,Cup,Thailand,4,234,3.384816753926702,99
2112,Nissin,Chilli Noodles Spicy Tom Yum Flavour,Pack,Thailand,4,234,3.384816753926702,77
2111,Nissin,Cup Noodles Chilli Crab Flavour,Cup,Hong Kong,3.75,234,3.8018248175182485,99
2102,Nissin,Cup Noodles Singapore Laksa,Cup,Japan,5,234,3.981605113636364,99
2095,Nissin,Straits Kitchen Laksa,Pack,Singapore,5,234,4.126146788990826,77
2090,Nissin,Nupasta Salmon In White Sauce Flavour Instant Noodle,Pack,Hong Kong,5,234,3.8018248175182485,77
2089,Nissin,Big Cup Noodles Seafood Curry Flavour,Cup,Hong Kong,5,234,3.8018248175182485,99
2088,Nissin,Demae Iccho Beef Flavour Instant Noodle,Bowl,Hong Kong,4,234,3.8018248175182485,54
